,Type,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,FloorPlan,Area,BuildingYear,Structure,Use,Purpose,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Region,LandShape,Frontage,Direction,Classification,Breadth,TotalFloorArea,PricePerUnit,UnitPrice,Remarks
0,中古マンション等,13120,東京都,練馬区,旭丘,32000000,２ＬＤＫ,60,昭和47年,ＳＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第２四半期,未改装,,,,,,,,,,
1,中古マンション等,13120,東京都,練馬区,旭丘,19000000,１Ｋ,20,平成18年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第２四半期,,,,,,,,,,,
2,中古マンション等,13120,東京都,練馬区,旭丘,19000000,１Ｋ,20,平成18年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
3,中古マンション等,13120,東京都,練馬区,旭丘,18000000,１Ｋ,20,平成18年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
4,中古マンション等,13120,東京都,練馬区,旭丘,48000000,３ＬＤＫ,65,平成13年,ＲＣ,住宅,住宅,近隣商業地域,80,400,2020年第１四半期,改装済,,,,,,,,,,
5,中古マンション等,13120,東京都,練馬区,旭丘,27000000,２ＤＫ,40,平成10年,ＳＲＣ,住宅,住宅,商業地域,80,500,2020年第１四半期,未改装,,,,,,,,,,
6,中古マンション等,13120,東京都,練馬区,旭丘,50000000,,65,平成22年,ＲＣ,住宅,,近隣商業地域,80,400,2020年第１四半期,未改装,,,,,,,,,,
7,中古マンション等,13120,東京都,練馬区,旭町,38000000,３ＬＤＫ,65,平成7年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第２四半期,改装済,,,,,,,,,,
8,宅地(土地と建物),13120,東京都,練馬区,旭町,65000000,,185,昭和44年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,10.0,東,私道,4.0,,,,
9,宅地(土地と建物),13120,東京都,練馬区,旭町,50000000,,85,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,5.0,北,区道,4.0,85,,,
10,宅地(土地),13120,東京都,練馬区,旭町,35000000,,125,,,,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,不整形,,西,私道,4.0,,930000,280000,
11,宅地(土地),13120,東京都,練馬区,旭町,60000000,,110,,,,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,,住宅地,不整形,9.0,北,区道,6.0,,1800000,550000,
12,中古マンション等,13120,東京都,練馬区,旭町,38000000,３ＬＤＫ,60,平成8年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
13,宅地(土地と建物),13120,東京都,練馬区,旭町,37000000,,90,平成15年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,7.3,北西,区道,5.0,85,,,
14,宅地(土地と建物),13120,東京都,練馬区,旭町,60000000,,135,平成9年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,9.0,西,区道,4.0,135,,,
15,中古マンション等,13120,東京都,練馬区,旭町,32000000,３ＬＤＫ,60,平成17年,ＲＣ,住宅,住宅,近隣商業地域,80,300,2020年第１四半期,未改装,,,,,,,,,,
16,宅地(土地と建物),13120,東京都,練馬区,大泉学園町,37000000,,95,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ長方形,,北,私道,4.0,75,,,
